"group_id","lang_code"
"5e53b0ed-e85e-44d6-b713-5826b4201b8c","en"
"222a9f6c-eba0-4cda-afd8-37d91e3ab8ba","en"
"e7508efa-2520-4be0-baf5-42beb622e1fd","id"
"d0237a5f-9f1c-47ff-9509-58cef8e575da","en"
"4e8119a1-777f-4c60-b0a9-783d62f93014","es-la"
"7e7cc454-1524-455d-b4c2-55938116304b","en"
"7e7cc454-1524-455d-b4c2-55938116304b","pt-br"
"7398cad1-bc26-42e2-9237-8a4855a5a0f7","ar"
"15a295c8-aee9-4169-bb4b-39de744e7556","en"
"47982709-27f8-495f-828a-95cfc63a20d1","en"
"be36b9e2-f8a2-4d38-b38d-84bae8b8843e","pt-br"
"872c4547-19fc-4227-b1ea-ce91347e6f52","pt-br"
"a537b0d3-94eb-4829-9db7-42c891f9f181","es"
"534a197c-bd8f-47ef-a0aa-e7a7743f962b","en"
"bfdea4f1-0adc-4aad-9d3b-118f091eb0d3","vi"
"bfdea4f1-0adc-4aad-9d3b-118f091eb0d3","en"
"e1af4ff2-00b7-4e19-b5d7-7f99ecdf1bbc","pt-br"
"449af487-ac0a-4cc3-a5ca-e3643be0dd31","ru"
"315021be-f524-4002-8ea8-138a3558be99","ru"
"08a08fa4-7fc1-4480-aa1b-a1531859ee92","id"
"8a4a1d92-db68-40ae-a503-71bfe668abf8","it"
"b5d5e431-2fe4-47ea-97fa-e1e93ca668ab","zh-hk"
"64d9679a-8200-4c81-856b-d3e0c1dae322","es-la"
"a8da24ae-4677-4f50-8f42-39dfa1d898b4","en"
"6fb066da-804b-4c04-bb7c-0d6ed6238908","en"
"db04aba1-e3b0-424c-9ce3-e97254018373","en"
"6716607c-673c-4ab3-b65d-ff25ea78032e","es-la"
"6716607c-673c-4ab3-b65d-ff25ea78032e","es"
"4bf62eb9-06ef-4049-a3a8-6afd553a5430","id"
"26a78d63-ead8-48af-ae61-0b2bd560da11","ru"
"e2730de9-5921-4ade-8910-27c5aaffe3fe","en"
"9b2f3df4-148c-42a0-949a-25d0201852b2","ru"
"768a704e-0790-4775-9795-26ebee2ff2f8","en"
"59c25492-5755-47f4-bead-979642662a19","en"
"5e1e5ff0-a6fd-4d5a-910c-6e46123d83b3","en"
"7557fa6f-35d3-4667-8afe-ecfb4567ac39","ru"
"b09efa0e-3e48-4b63-b0a4-d16479a1f73c","ru"
"024c3e65-622e-4da1-addb-42ea14a1b694","es-la"
"16ddddc4-fe36-4c51-9db8-ad8737fb634a","en"
"88f336a2-9d8d-4567-9f48-8c6ba70906f9","ru"
"639995f6-10a4-4b43-89ed-8f104a08fdd9","en"
"bea20a4e-870f-4de1-958b-ce3e6f367190","en"
"2f5b50f5-ea4d-4de7-a96b-3a9a9839138b","pl"
"141b6b8a-ba08-4122-8c89-bd977acd9f43","ru"
"da5e0cf4-c1b6-44f2-851a-7c04fb3e813b","en"
"0230e91b-19df-4c7a-9918-5dadea4838ad","en"
"b7389766-aa1a-4060-bfe1-d534a391540e","fr"
"6cd92f3f-978b-48cc-94f7-a21ae61f8d43","en"
"7d1afb94-5a9b-4c5f-92d9-83724835d74c","en"
"c212b6d4-c007-4a8f-a469-272ec711de87","ar"
"9dc8def1-b251-4b69-87e9-e196dda7bf4d","ja"
"2b56ac7c-4ff7-4971-a20b-067f30c232be","en"
"a4252b84-476c-4837-880a-73ca505d604c","en"
"7ab23cca-9b84-4541-9b86-cca755c90737","en"
"5a4212cb-148f-4320-992a-b123ee6ce02f","ru"
"03f81e82-f6d7-4500-a2f5-20eb854b27c1","en"
"075ed744-0c50-4fad-8978-95493ce0b240","es-la"
"27db6539-9fdb-41d8-b5f3-70188f31c3f5","it"
"026d3f02-eecb-4bba-a19b-938bbba775e2","cs"
"4afea22f-0ff7-435b-921e-e26d91be0ea3","en"
"c010119f-b41e-44ff-89df-8a646ec44eb9","en"
